Source,Target,Label,Weight
Agatha,Agnes,Osbern Bokenam,1
Agatha,Anne,Osbern Bokenam,1
Agatha,Cecilia,Osbern Bokenam,1
Agatha,Christina,Osbern Bokenam,1
Agatha,Elizabeth,Osbern Bokenam,1
Agatha,Katherine of Alexandria,Osbern Bokenam,1
Agatha,Lucy,Osbern Bokenam,1
Agatha,Margaret,Osbern Bokenam,1
Agatha,Mary Magdalene,Osbern Bokenam,1
Agatha,faith,Osbern Bokenam,1
Agatha,legends,Osbern Bokenam,1
Agatha,martyrs,Osbern Bokenam,1
Agatha,prologues,Osbern Bokenam,1
Agatha,saints’ lives,Osbern Bokenam,10
Agnes,Anne,Osbern Bokenam,1
Agnes,Cecilia,Osbern Bokenam,1
Agnes,Christina,Osbern Bokenam,1
Agnes,Elizabeth,Osbern Bokenam,1
Agnes,Katherine of Alexandria,Osbern Bokenam,1
Agnes,Lucy,Osbern Bokenam,1
Agnes,Margaret,Osbern Bokenam,1
Agnes,Mary Magdalene,Osbern Bokenam,1
Agnes,faith,Osbern Bokenam,1
Agnes,legends,Osbern Bokenam,1
Agnes,martyrs,Osbern Bokenam,1
Agnes,prologues,Osbern Bokenam,1
Agnes,saints’ lives,Osbern Bokenam,9
Alban,Amphibal,John Lydgate,1
Alban,Anne,John Lydgate,2
Alban,Augustine of Canterbury,John Lydgate,1
Alban,Barbara,John Lydgate,1
Alban,Blasius,John Lydgate,1
Alban,Bury St Edmund’s,John Lydgate,1
Alban,Cambridge,John Lydgate,1
Alban,Charles VII,John Lydgate,1
Alban,Chaucer,John Lydgate,2
Alban,Christ,John Lydgate,8
Alban,Christine,John Lydgate,1
Alban,Christopher,John Lydgate,1
Alban,Corpus Christi,John Lydgate,1
Alban,Cupid,John Lydgate,1
Alban,Denis,John Lydgate,2
Alban,Diana,John Lydgate,1
Alban,Doomsday,John Lydgate,1
Alban,Edmund,John Lydgate,4
Alban,Edmund of Abingdon,John Lydgate,1
Alban,Edward II,John Lydgate,1
Alban,Edward IV,John Lydgate,1
Alban,Egidius,John Lydgate,1
Alban,Flemings,John Lydgate,1
Alban,Fortune,John Lydgate,2
Alban,France,John Lydgate,1
Alban,Gabriel,John Lydgate,1
Alban,George,John Lydgate,2
Alban,Giles,John Lydgate,2
Alban,God,John Lydgate,3
Alban,Guy of Warwick,John Lydgate,1
Alban,Henry VI,John Lydgate,11
Alban,Hertford,John Lydgate,1
Alban,Humphrey,John Lydgate,2
Alban,Jacqueline of Hainault,John Lydgate,2
Alban,John,John Lydgate,1
Alban,Katherine of Alexandria,John Lydgate,1
Alban,Leonard,John Lydgate,1
Alban,London,John Lydgate,2
Alban,Lord’s Prayer,John Lydgate,2
Alban,Louis,John Lydgate,1
Alban,Magi,John Lydgate,1
Alban,Margaret,John Lydgate,3
Alban,Martha,John Lydgate,1
Alban,Mary Magdalene,John Lydgate,1
Alban,May,John Lydgate,1
Alban,Michael the archangel,John Lydgate,1
Alban,Occasional poems,John Lydgate,1
Alban,Ositha,John Lydgate,1
Alban,Passion,John Lydgate,1
Alban,Petronilla,John Lydgate,1
